id;parent_id/id;name
senario.product_category_dermlight_Clayton-Shagal_3seances_decollete;senario.product_category_dermlight_Clayton-Shagal_3seances;Dermlight Clayton-Shagal 3 séances : Décolleté
senario.product_category_dermlight_Clayton-Shagal_3seances_main;senario.product_category_dermlight_Clayton-Shagal_3seances;Dermlight Clayton-Shagal 3 séances : Mains
senario.product_category_dermlight_Clayton-Shagal_3seances_visage;senario.product_category_dermlight_Clayton-Shagal_3seances;Dermlight Clayton-Shagal 3 séances : Visage
senario.product_category_dermlight_Clayton-Shagal_5seances;senario.product_category_dermlight_Clayton-Shagal;Dermlight Clayton-Shagal 5 séances
senario.product_category_dermlight_Clayton-Shagal_5seances_cou;senario.product_category_dermlight_Clayton-Shagal_5seances;Dermlight Clayton-Shagal 5 séances : Cou
senario.product_category_dermlight_Clayton-Shagal_5seances_decollete;senario.product_category_dermlight_Clayton-Shagal_5seances;Dermlight Clayton-Shagal 5 séances : Décolleté
senario.product_category_dermlight_Clayton-Shagal_5seances_main;senario.product_category_dermlight_Clayton-Shagal_5seances;Dermlight Clayton-Shagal 5 séances : Mains
senario.product_category_dermlight_Clayton-Shagal_5seances_visage;senario.product_category_dermlight_Clayton-Shagal_5seances;Dermlight Clayton-Shagal 5 séances : Visage
senario.product_category_carteCadeaux;senario.product_category_all;Carte cadeaux
senario.product_category_coffretCosmetique;senario.product_category_all;Coffret cosmétique
senario.product_category_transfertDossier;senario.product_category_all;Transfert de dossier
senario.product_category_cosmetique;senario.product_category_all;Cosmétiques
senario.product_category_cosmetique_clayton;senario.product_category_cosmetique;Cosmétiques Clayton-Shagal
senario.product_category_cosmetique_clayton_gel;senario.product_category_cosmetique_clayton;Cosmétiques Clayton-Shagal : Gels
senario.product_category_cosmetique_clayton_creme;senario.product_category_cosmetique_clayton;Cosmétiques Clayton-Shagal : Crèmes
senario.product_category_cosmetique_clayton_serum;senario.product_category_cosmetique_clayton;Cosmétiques Clayton-Shagal : Sérums
