id,default_code,name,description_purchase,description_sale,purchase_ok,sale_ok,type,track_service,invoice_policy,route_ids,chemistry,list_price,taxes_id/id,standard_price,sale_delay,warranty,uom_id/id,categ_id/id,uom_po_id/id,company_id/id
__setup__.product_1032,1032,Analyse chimique,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,200,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1034,1034,Analyse eau,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,470,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1035,1035,Analyse EDX,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,100,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1037,1037,Analyse Fe2+ / Fe3+,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,140,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1038,1038,Analyse acier inoxydable,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,250,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1039,1039,Analyse FT-IR,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,100,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1040,1040,Analyse GC-MS,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,140,l10n_ch.3_vat_O_exclude,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1041,1041,Analyse Headspcace GC-MS,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,220,l10n_ch.3_vat_O_exclude,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1042,1042,Analyse Inconel,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,362.5,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1044,1044,Analyse laiton,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,250,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1045,1045,Analyse par ICP Plasma,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,150,l10n_ch.3_vat_O_exclude,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1050,1050,Analyse titane,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,160,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1051,1051,Analyses diverses,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,250,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1052,1052,Angle,,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1053,1053,Anti-moustique,,,,TRUE,Consumable,,,,,25,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1054,1054,Au 2N,,,,TRUE,Consumable,,,,,20,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1055,1055,Au 3N,,,,TRUE,Consumable,,,,,20,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1056,1056,Au 5N,,,,TRUE,Consumable,,,,,20,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1057,1057,Au gris,,,,TRUE,Consumable,,,,,20,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1058,1058,Autre,,,,TRUE,Consumable,,,,,0,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1059,1059,Avec abrasif,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1060,1060,Bar [suppression à l'eau],,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1029,1029,Amines ducisseuses & antioxydantes (MDA & MOCA),,,,TRUE,service,Create a task and track hours,Delivered quantities,,chem,130,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1062,1062,Benzine rectifiée,,,,TRUE,Consumable,,,,,20,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1063,1063,Blocage lunette tournante,,,,TRUE,service,Create a task and track hours,Delivered quantities,,,80,l10n_ch.1_vat_80_incl,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1064,1064,Boîte,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1065,1065,Boîte avec pourtour métal,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1066,1066,Boîte avec pourtour mousse,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1067,1067,Boîte avec pourtour plastique blanc,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
__setup__.product_1068,1068,Boucle,,,,TRUE,Consumable,,,,,,,,,,product.product_uom_unit,product.product_category_1,product.product_uom_unit,__setup__.company_mte
