id,code,name,user_type_id/id,reconcile,currency_id/id,company_id/id
__setup__.mte_coa_1000,1000,Petite caisse,account.data_account_type_liquidity,,,__setup__.company_mte
__setup__.mte_coa_1020,1020,Compte courant bancaire,account.data_account_type_liquidity,,,__setup__.company_mte
__setup__.mte_coa_1040,1040,Compte courant Euro,account.data_account_type_liquidity,,,__setup__.company_mte
__setup__.mte_coa_1050,1050,Compte courant dollars,account.data_account_type_liquidity,,,__setup__.company_mte
__setup__.mte_coa_1060,1060,Obligations,account.data_account_type_current_assets,,,__setup__.company_mte
__setup__.l10n_ch_coa_original_1100___setup___company_mte,1100,Clients,account.data_account_type_receivable,1,,__setup__.company_mte
__setup__.mte_coa_1176,1176,Impôt anticipé à récupérer,account.data_account_type_current_assets,,,__setup__.company_mte
__setup__.mte_coa_1200,1200,Travaux en cours,account.data_account_type_current_assets,,,__setup__.company_mte
__setup__.mte_coa_1300,1300,Actifs de régularisation,account.data_account_type_current_assets,,,__setup__.company_mte
__setup__.mte_coa_1500,1500,Machines et appareils,account.data_account_type_current_assets,,,__setup__.company_mte
__setup__.mte_coa_1505,1505,Matériel laboratoire+métallographique,account.data_account_type_current_assets,,,__setup__.company_mte
__setup__.mte_coa_1510,1510,Outillage,account.data_account_type_current_assets,,,__setup__.company_mte
__setup__.mte_coa_1520,1520,Mobilier de bureau/rénovation,account.data_account_type_current_assets,,,__setup__.company_mte
__setup__.mte_coa_1525,1525,Matériel informatique,account.data_account_type_current_assets,,,__setup__.company_mte
__setup__.mte_coa_1530,1530,Automobiles,account.data_account_type_current_assets,,,__setup__.company_mte
__setup__.mte_coa_1600,1600,Bâtiments d'exploitation,account.data_account_type_current_assets,,,__setup__.company_mte
__setup__.mte_coa_1610,1610,Usines,account.data_account_type_current_assets,,,__setup__.company_mte
__setup__.mte_coa_1990,1990,Compte de régularisation,account.data_account_type_current_assets,,,__setup__.company_mte
__setup__.l10n_ch_coa_original_2000___setup___company_mte,2000,Créanciers,account.data_account_type_payable,1,,__setup__.company_mte
__setup__.mte_coa_2009,2009,Compte salaire,account.data_account_type_current_liabilities,,,__setup__.company_mte
__setup__.mte_coa_2100,2100,Dettes bancaires à court terme,account.data_account_type_current_liabilities,,,__setup__.company_mte
__setup__.mte_coa_2208,2208,Impôt à la source,account.data_account_type_current_liabilities,,,__setup__.company_mte
__setup__.mte_coa_2230,2230,c/c Philippe Girardin,account.data_account_type_current_liabilities,,,__setup__.company_mte
__setup__.mte_coa_2300,2300,Passifs de régularisation,account.data_account_type_current_liabilities,,,__setup__.company_mte
__setup__.mte_coa_2400,2400,Dettes bancaires à long terme,account.data_account_type_current_liabilities,,,__setup__.company_mte
__setup__.mte_coa_2500,2500,Ducroire sur débiteur,account.data_account_type_current_liabilities,,,__setup__.company_mte
__setup__.mte_coa_2550,2550,Provision 13ème salaire et vacances,account.data_account_type_current_liabilities,,,__setup__.company_mte
__setup__.mte_coa_2600,2600,Provision pour impôts,account.data_account_type_current_liabilities,,,__setup__.company_mte
__setup__.mte_coa_2700,2700,Provision pour garanties,account.data_account_type_current_liabilities,,,__setup__.company_mte
__setup__.mte_coa_2710,2710,Provision conjoncturelle,account.data_account_type_current_liabilities,,,__setup__.company_mte
__setup__.mte_coa_2800,2800,Capital,account.data_account_type_equity,,,__setup__.company_mte
__setup__.mte_coa_2900,2900,Réserves générales,account.data_account_type_equity,,,__setup__.company_mte
__setup__.mte_coa_2910,2910,Réserves libres,account.data_account_type_equity,,,__setup__.company_mte
__setup__.mte_coa_2990,2990,Bénéfice reporté,account.data_account_type_equity,,,__setup__.company_mte
__setup__.mte_coa_2995,2995,Bénéfice/perte de l'exercice,account.data_account_type_equity,,,__setup__.company_mte
__setup__.l10n_ch_coa_original_3000___setup___company_mte,3000,Tests mécaniques,account.data_account_type_revenue,,,__setup__.company_mte
__setup__.mte_coa_3010,3010,Prestations,account.data_account_type_revenue,,,__setup__.company_mte
__setup__.mte_coa_3020,3020,Frais,account.data_account_type_revenue,,,__setup__.company_mte
__setup__.mte_coa_3030,3030,Frais dossier,account.data_account_type_revenue,,,__setup__.company_mte
__setup__.mte_coa_3040,3040,Analyse/Mesure,account.data_account_type_revenue,,,__setup__.company_mte
__setup__.mte_coa_3041,3041,Analyse/Mesure-Chimie,account.data_account_type_revenue,,,__setup__.company_mte
__setup__.mte_coa_3050,3050,Tests environnement,account.data_account_type_revenue,,,__setup__.company_mte
__setup__.mte_coa_3060,3060,R & D,account.data_account_type_revenue,,,__setup__.company_mte
__setup__.mte_coa_3070,3070,?,account.data_account_type_revenue,,,__setup__.company_mte
__setup__.mte_coa_3900,3900,Escomptes,account.data_account_type_revenue,,,__setup__.company_mte
__setup__.l10n_ch_coa_original_4000___setup___company_mte,4000,Tests mécaniques,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_4010,4010,Prestations,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_4020,4020,Frais,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_4030,4030,Divers,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_4040,4040,Analyse/Mesure,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_4041,4041,Analyse/Mesure-Chimie,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_4050,4050,Tests environnement,account.data_account_type_expenses,,,__setup__.company_mte
__setup__.mte_coa_4060,4060,Produits pour Analyse/Mesure,account.data_account_type_expenses,,,__setup__.company_mte
