id,categ_id/id,name,no_quantity,purchase_ok,sale_ok,lst_price
scenario.product_cosmetique_esthederm_soinvisage_preparersapeau_lait_demaquillant_desensibilisant_-_flacon_400_ml,scenario.product_category_cosmetique_esthederm_soinVisage_preparerSaPeau,Lait Démaquillant Désensibilisant / Flacon 400 ml,False,True,True,20
scenario.product_cosmetique_esthederm_soinvisage_preparersapeau_lotion_desensibilisant_-_flacon_400_ml,scenario.product_category_cosmetique_esthederm_soinVisage_preparerSaPeau,Lotion Désensibilisant / Flacon 400 ml,False,True,True,20
