city;country_id/id;id;is_company;customer;lang;lastname;street;street2;tz;zip
GRENOBLE;base.fr;scenario.user_center_grenoble_res_partner;False;False;fr_FR;GRENOBLE;10 bis rue Berthe de Boissieux;;Europe/Paris;38000
LYON;base.fr;scenario.company_agencyfr_center48_res_partner;True;True;fr_FR;LYON 2 BELLECOUR;20 rue des Remparts d'Ainay;;Europe/Paris;69002
LYON;base.fr;scenario.user_center_lyon2_res_partner;False;False;fr_FR;LYON 2 BELLECOUR;20 rue des Remparts d'Ainay;;Europe/Paris;69002
AMIENS;base.fr;scenario.company_agencyfr_center49_res_partner;True;True;fr_FR;AMIENS;10 Rue Duméril;;Europe/Paris;80000
AMIENS;base.fr;scenario.user_center_amiens_res_partner;False;False;fr_FR;AMIENS;10 Rue Dumeril;;Europe/Paris;80000
;base.fr;scenario.company_agencyfr_center50_res_partner;True;True;;LILLE RUE DES ARTS VIEUX LILLE;;;Europe/Paris;
LILLE;base.fr;scenario.user_center_lillearts_res_partner;False;False;fr_FR;LILLE RUE DES ARTS VIEUX LILLE;51 Rue des Arts;;Europe/Paris;59000
PAU;base.fr;scenario.company_agencyfr_center51_res_partner;True;True;fr_FR;PAU;4 rue Bordenave d'Abère;;Europe/Paris;64000
PAU;base.fr;scenario.user_center_pau64_res_partner;False;False;fr_FR;PAU;4 rue Bordenave d'Abère;;Europe/Paris;64000
BRIVE LA GAILLARDE;base.fr;scenario.company_agencyfr_center52_res_partner;True;True;fr_FR;BRIVE LA GAILLARDE;7 rue Gambetta;;Europe/Paris;19100
ANNECY;base.fr;scenario.company_agencyfr_center53_res_partner;True;True;fr_FR;ANNECY;6 bis rue du Lac;;Europe/Paris;74000
ANNECY;base.fr;scenario.user_center_annecy_res_partner;False;False;fr_FR;ANNECY;6 bis rue du Lac;;Europe/Paris;74000
BOURG EN BRESSE;base.fr;scenario.company_agencyfr_center54_res_partner;True;True;fr_FR;BOURG EN BRESSE;5 Rue Gustave Doré;;Europe/Paris;1000
